Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2020-10-05,316.04072420129154,319.70839338054463,315.9937142078206,319.52032470703125,45713100.0,5.0,0.0,41.0,10.0,2020.0
2020-10-06,319.6614692289698,321.78684957779194,314.4608940308898,314.9781188964844,90128900.0,6.0,1.0,41.0,10.0,2020.0
2020-10-07,317.97803710669746,321.27895403446433,317.9498253679829,320.4607849121094,56999600.0,7.0,2.0,41.0,10.0,2020.0
2020-10-08,322.4262497653275,323.3666792360156,321.495205073598,323.30084228515625,45242500.0,8.0,3.0,41.0,10.0,2020.0
2020-10-09,324.97479574735013,326.6581724847671,324.34472409287474,326.1879577636719,59528600.0,9.0,4.0,41.0,10.0,2020.0
2020-10-10,324.97479574735013,326.6581724847671,324.34472409287474,326.1879577636719,59528600.0,9.0,4.0,41.0,10.0,2020.0
2020-10-11,324.97479574735013,326.6581724847671,324.34472409287474,326.1879577636719,59528600.0,9.0,4.0,41.0,10.0,2020.0
2020-10-12,328.7647912025177,332.93088757924073,328.2663646461562,331.43560791015625,80388500.0,12.0,0.0,42.0,10.0,2020.0
2020-10-13,331.29453138300465,331.4732152992231,328.29455872603177,329.2726135253906,73255500.0,13.0,1.0,42.0,10.0,2020.0
2020-10-14,329.85569276123,330.965392836848,326.460755572356,327.20367431640625,57727900.0,14.0,2.0,42.0,10.0,2020.0
2020-10-15,323.2350798547268,327.2883295118809,322.68964326381683,326.79931640625,60357700.0,15.0,3.0,42.0,10.0,2020.0
2020-10-16,328.1722773500685,329.8556542272104,326.4230922182292,326.6017761230469,89501900.0,16.0,4.0,42.0,10.0,2020.0
2020-10-17,328.1722773500685,329.8556542272104,326.4230922182292,326.6017761230469,89501900.0,16.0,4.0,42.0,10.0,2020.0
2020-10-18,328.1722773500685,329.8556542272104,326.4230922182292,326.6017761230469,89501900.0,16.0,4.0,42.0,10.0,2020.0
2020-10-19,327.88075935708804,328.5202445680317,320.72410420307284,321.6363220214844,68425600.0,19.0,0.0,43.0,10.0,2020.0
2020-10-20,322.9999348731785,326.21621665826694,322.2288044308222,322.9247131347656,60051900.0,20.0,1.0,43.0,10.0,2020.0
2020-10-21,322.87765027229653,325.07828057613625,322.0030577179887,322.3134155273437,63575000.0,21.0,2.0,43.0,10.0,2020.0
2020-10-22,322.52968747373944,324.67386554712687,320.35729766384543,324.0813903808594,55399300.0,22.0,3.0,43.0,10.0,2020.0
2020-10-23,325.3228824642863,325.3793059578133,322.6896904342239,325.18182373046875,49143900.0,23.0,4.0,43.0,10.0,2020.0
2020-10-24,325.3228824642863,325.3793059578133,322.6896904342239,325.18182373046875,49143900.0,23.0,4.0,43.0,10.0,2020.0
2020-10-25,325.3228824642863,325.3793059578133,322.6896904342239,325.18182373046875,49143900.0,23.0,4.0,43.0,10.0,2020.0
2020-10-26,321.74916154197103,322.5485323869964,315.6269560825658,319.1723937988281,91473000.0,26.0,0.0,44.0,10.0,2020.0
2020-10-27,319.5203520577409,319.8588929188217,317.8557733918637,318.07208251953125,65994100.0,27.0,1.0,44.0,10.0,2020.0
2020-10-28,312.3166840829194,318.1003205345294,306.70231807583235,307.20074462890625,127094300.0,28.0,2.0,44.0,10.0,2020.0
2020-10-29,307.4358417899511,313.5392206665911,305.7242530422314,310.3229675292969,90597700.0,29.0,3.0,44.0,10.0,2020.0
2020-10-30,308.72422895047293,310.050238134769,303.3825956929018,307.087890625,120287300.0,30.0,4.0,44.0,10.0,2020.0
2020-10-31,308.72422895047293,310.050238134769,303.3825956929018,307.087890625,120287300.0,30.0,4.0,44.0,10.0,2020.0
2020-11-01,308.72422895047293,310.050238134769,303.3825956929018,307.087890625,120287300.0,30.0,4.0,44.0,10.0,2020.0
2020-11-02,310.52984619140625,312.5611487460782,307.74615408386074,310.52984619140625,86068300.0,2.0,0.0,45.0,11.0,2020.0
2020-11-03,313.81194100634207,318.1002974880372,310.6144862541493,316.0125427246094,93294200.0,3.0,1.0,45.0,11.0,2020.0
2020-11-04,320.554822153333,327.213079844498,319.3604868839866,323.0751953125,126959700.0,4.0,2.0,45.0,11.0,2020.0
2020-11-05,328.4356080442599,331.20988670663206,328.0782402220281,329.37603759765625,82039700.0,5.0,3.0,45.0,11.0,2020.0
2020-11-06,329.0845331386502,330.5704280240426,326.94035473283753,329.30084228515625,74973000.0,6.0,4.0,45.0,11.0,2020.0
2020-11-07,329.0845331386502,330.5704280240426,326.94035473283753,329.30084228515625,74973000.0,6.0,4.0,45.0,11.0,2020.0
2020-11-08,329.0845331386502,330.5704280240426,326.94035473283753,329.30084228515625,74973000.0,6.0,4.0,45.0,11.0,2020.0
2020-11-09,342.2881667898538,342.67374637446204,332.9685058974516,333.438720703125,172304200.0,9.0,0.0,46.0,11.0,2020.0
2020-11-10,332.43242305600245,334.02175124658214,329.62996144392315,332.9496765136719,85552000.0,10.0,1.0,46.0,11.0,2020.0
2020-11-11,335.1690393218218,336.2599408922408,333.90886734382786,335.4229736328125,58649000.0,11.0,2.0,46.0,11.0,2020.0
2020-11-12,334.39791123848846,335.4700146515452,330.33527758279547,332.1690979003906,67546200.0,12.0,3.0,46.0,11.0,2020.0
2020-11-13,334.1064511622512,337.52021558537405,333.5798128231088,336.76788330078125,62892200.0,13.0,4.0,46.0,11.0,2020.0
2020-11-14,334.1064511622512,337.52021558537405,333.5798128231088,336.76788330078125,62892200.0,13.0,4.0,46.0,11.0,2020.0
2020-11-15,334.1064511622512,337.52021558537405,333.5798128231088,336.76788330078125,62892200.0,13.0,4.0,46.0,11.0,2020.0
2020-11-16,339.47624765436683,341.1690092566258,338.16903688735835,340.9715270996094,74541100.0,16.0,0.0,47.0,11.0,2020.0
2020-11-17,338.5264523154592,340.3603015589505,336.99354743904127,339.1377258300781,66111000.0,17.0,1.0,47.0,11.0,2020.0
2020-11-18,339.410499197852,339.96534929770087,335.0186797063315,335.0563049316406,70591300.0,18.0,2.0,47.0,11.0,2020.0
2020-11-19,334.41684985999734,336.8431461686847,333.05321514061893,336.46697998046875,59940900.0,19.0,3.0,47.0,11.0,2020.0
2020-11-20,336.2035866851526,336.4104823480211,334.08762005566564,334.162841796875,70417300.0,20.0,4.0,47.0,11.0,2020.0
2020-11-21,336.2035866851526,336.4104823480211,334.08762005566564,334.162841796875,70417300.0,20.0,4.0,47.0,11.0,2020.0
2020-11-22,336.2035866851526,336.4104823480211,334.08762005566564,334.162841796875,70417300.0,20.0,4.0,47.0,11.0,2020.0
2020-11-23,335.99668415085875,337.4449537613201,333.73024538566943,336.1659545898437,63230600.0,23.0,0.0,48.0,11.0,2020.0
2020-11-24,338.7520922930149,342.1376441343376,337.8869132500064,341.5827941894531,62415900.0,24.0,1.0,48.0,11.0,2020.0
2020-11-25,341.4980942248917,341.5263059557352,339.9463916292498,341.0560913085937,45330900.0,25.0,2.0,48.0,11.0,2020.0
