Date,S&P500_Close,S&P500_Open,S&P500_High,S&P500_Low,S&P500_Change_%,VIX_Open,VIX_High,VIX_Low,VIX_Close,Crypto_Volume,Crypto_Market_Cap,Year,Month,Day,DayOfWeek,IsWeekend,Market_Cap_STD,SP500_EMA,SP500_SMA_20,SP500_SMA_50,SP500_SMA_100,Lagged_VIX_Close,Lagged_S&P500_Close,Crypto_Market_Cap_%,Crypto_Volume_Change_%
2018-05-16,2722.5,2712.6,2727.8,2712.2,0.41,14.38,14.91,13.21,13.42,9944623690.89968,284179838809.68646,2018,5,16,2,False,15271762424.999977,2711.895545339039,2684.0350000000003,2662.3839999999996,2683.63,14.63,2711.4,-4.551711564446315,-3.3605922760846063
2018-05-17,2720.1,2719.7,2732.0,2711.4,-0.09,13.54,13.86,12.65,13.43,8883076625.694443,285842031849.26807,2018,5,17,3,False,13762996925.26398,2713.536436271231,2686.545,2664.6859999999997,2683.88,13.42,2722.5,0.5849088543873782,-10.674582550334788
2018-05-18,2713.0,2717.3,2719.5,2709.2,-0.26,13.18,13.87,13.06,13.42,8893034068.761332,278210774906.1241,2018,5,18,4,False,12635399495.158363,2713.429149016985,2688.7,2666.1279999999997,2684.1930000000007,13.43,2720.1,-2.6697462559208684,0.1120945308305421
2018-05-19,2713.0,2717.3,2719.5,2709.2,-0.26,13.18,13.87,13.06,13.42,7718183469.905973,283587782175.2272,2018,5,19,5,True,7402531563.465714,2713.343319213588,2690.855,2667.57,2685.5130000000004,13.42,2713.0,1.9327099286206462,-13.210908557994506
2018-05-20,2713.0,2717.3,2719.5,2709.2,-0.26,13.18,13.87,13.06,13.42,7226489722.787774,288965139073.0628,2018,5,20,6,True,7041915803.089767,2713.2746553708703,2694.1,2669.012,2686.447,13.42,2713.0,1.8961877893995505,-6.370588999799843
2018-05-21,2733.0,2725.9,2739.2,2725.7,0.74,13.44,13.59,12.78,13.08,7809124395.881796,290624437922.2121,2018,5,21,0,False,6994086597.028122,2717.2197242966963,2698.0099999999998,2670.8540000000003,2687.581,13.42,2713.0,0.5742211169388778,8.062485320594327
2018-05-22,2724.4,2738.3,2742.2,2721.9,-0.31,13.03,13.42,12.77,13.22,7440303557.465512,281395104909.22064,2018,5,22,1,False,6922891304.94517,2718.655779437357,2702.445,2673.7039999999997,2688.6289999999995,13.08,2733.0,-3.1756906194728707,-4.722947410221612
2018-05-23,2733.3,2714.0,2733.3,2709.5,0.33,13.5,14.6,12.49,12.58,9062760807.126429,261631125958.3307,2018,5,23,2,False,9998293689.603975,2721.5846235498857,2707.625,2676.0820000000003,2689.4019999999996,13.22,2724.4,-7.023568856063045,21.80633138325334
2018-05-24,2727.8,2730.9,2732.0,2707.4,-0.2,12.73,14.24,12.53,12.53,10744635968.783087,254919736056.21686,2018,5,24,3,False,12332474485.378141,2722.8276988399084,2710.8450000000003,2677.7439999999997,2690.0510000000004,12.58,2733.3,-2.565210801096629,18.558088395471373
2018-05-25,2721.3,2723.6,2727.4,2715.0,-0.24,12.44,13.52,12.29,13.22,9316843223.7712,254001191189.95328,2018,5,25,4,False,14588562048.117632,2722.522159071927,2713.7400000000002,2678.914,2690.278,12.53,2727.8,-0.3603270898025035,-13.28842362980116
