Start,End,Open,High,Low,Close,Volume,Market Cap
2018-04-01,2018-04-02,0.034092226,0.034789002,0.028603735,0.032174521,212481598.10769188,2116477018.8909545
2018-04-02,2018-04-03,0.032295021,0.03698,0.031037751,0.035411953,189567033.5577117,2171116855.5111065
2018-04-03,2018-04-04,0.035971366,0.035971366,0.033570162,0.034866446,149994348.70232204,2294644703.090779
2018-04-04,2018-04-05,0.03491253,0.035181476,0.02995598,0.030231229,122435959.55025254,2093145311.941845
2018-04-05,2018-04-06,0.030247306,0.045887496,0.029186179,0.039381084,154201963.3092778,2434085270.823679
2018-04-06,2018-04-07,0.039390499,0.043548068,0.03595696,0.036585124,178466240.79112136,2489096264.977421
2018-04-07,2018-04-08,0.036588468,0.037800192,0.036176735,0.036864382,131624004.20031922,2441014142.3002377
2018-04-08,2018-04-09,0.036798005,0.038554834,0.036579132,0.037509841,126459345.88610809,2463880076.0159893
2018-04-09,2018-04-10,0.037533304,0.037836686,0.034459462,0.03575276,119052765.47922494,2385815413.8328424
2018-04-10,2018-04-11,0.035802888,0.037281886,0.035059598,0.036884616,132103029.03567486,2393897887.123865
2018-04-11,2018-04-12,0.036919338,0.037280206,0.035956004,0.036222375,137925899.96215424,2405051962.6620326
2018-04-12,2018-04-13,0.036206848,0.039810489,0.035235233,0.039696662,134601394.38462543,2438871042.2613664
2018-04-13,2018-04-14,0.03964713,0.042021613,0.038360501,0.039142279,168899986.41104364,2608091995.9591866
2018-04-14,2018-04-15,0.039091466,0.041136704,0.03868592,0.040020854,144766199.1374196,2602503424.0567546
2018-04-15,2018-04-16,0.040062081,0.043550429,0.039925457,0.043119094,146239915.99957147,2738742997.102066
2018-04-16,2018-04-17,0.043105123,0.043929721,0.040195724,0.041289858,140948617.22804585,2711727875.488519
2018-04-17,2018-04-18,0.041178324,0.043291529,0.040701689,0.042018593,148788169.92798635,2757042733.8184204
2018-04-18,2018-04-19,0.04206537,0.047163847,0.042003344,0.047163847,174383407.0372587,2925922312.35379
2018-04-19,2018-04-20,0.047267556,0.051004289,0.046771708,0.049131166,201828702.35008568,3231827346.968564
2018-04-20,2018-04-21,0.049053124,0.05369262,0.048275835,0.05369262,180919464.5500681,3333109447.5925355
2018-04-21,2018-04-22,0.053590727,0.056025365,0.049540309,0.053038257,242238092.82724893,3498213653.6326365
2018-04-22,2018-04-23,0.05300181,0.054360022,0.051364698,0.052139425,219835999.7719709,3516166139.5274763
2018-04-23,2018-04-24,0.052180684,0.05817397,0.052180684,0.05817397,219180142.7075283,3574336495.9718223
2018-04-24,2018-04-25,0.058303185,0.076376236,0.057288621,0.072275994,338265547.91647536,4236568084.776555
2018-04-25,2018-04-26,0.072494797,0.079802351,0.065264493,0.068979993,521202316.9699184,4664314537.603988
2018-04-26,2018-04-27,0.069251973,0.073393798,0.06624055,0.073276833,360532710.5953456,4611533738.14569
2018-04-27,2018-04-28,0.073652117,0.078951374,0.071701973,0.074187255,267108542.78881723,4971221677.487996
2018-04-28,2018-04-29,0.073680993,0.08390429,0.073503872,0.081769039,310605629.0010472,5267692936.556624
2018-04-29,2018-04-30,0.081833875,0.088668822,0.080631772,0.088156719,329439287.83311707,5572974917.588606
2018-04-30,2018-05-01,0.088252275,0.100536207,0.08522025,0.092686195,386205201.7240134,6185179329.578078
2018-05-01,2018-05-02,0.093038882,0.093163627,0.08557948,0.092643892,428422127.8396695,5919241101.526189
2018-05-02,2018-05-03,0.09223606,0.092510558,0.089854956,0.09110769,277943094.6590249,5962619118.41396
2018-05-03,2018-05-04,0.091179689,0.091306058,0.084300627,0.087143302,262902832.47446328,5788703499.727976
2018-05-04,2018-05-05,0.08665738,0.08809,0.081259157,0.086807667,293023982.61898464,5625518294.700401
2018-05-05,2018-05-06,0.086536382,0.090831521,0.085812939,0.086924088,287240781.35997224,5766085373.284214
2018-05-06,2018-05-07,0.086916499,0.086963229,0.081627146,0.084627771,258981828.0400884,5513510767.853278
2018-05-07,2018-05-08,0.08474669,0.08474669,0.079392531,0.082713161,252490806.7187266,5378136509.46852
2018-05-08,2018-05-09,0.082785717,0.085878427,0.080482652,0.082921063,284362986.9449033,5491255215.086247
2018-05-09,2018-05-10,0.082803845,0.082803845,0.07901513,0.080325012,259354952.3163281,5325644029.083744
2018-05-10,2018-05-11,0.080467624,0.081305089,0.0730038,0.07316146,229172443.3845104,5253481608.928252
2018-05-11,2018-05-12,0.073178357,0.076066774,0.0635042,0.065304647,239977436.5320893,4558025693.080094
2018-05-12,2018-05-13,0.065029516,0.070230114,0.059763851,0.067397749,214002207.4545492,4356976883.277761
2018-05-13,2018-05-14,0.067383409,0.075463347,0.066787689,0.07388427,221543153.651369,4838673044.523161
2018-05-14,2018-05-15,0.073821253,0.073987715,0.068936104,0.071457499,221008359.66329464,4858167223.234188
2018-05-15,2018-05-16,0.071316556,0.073190651,0.067197282,0.068455943,248321192.9082133,4758054960.731643
2018-05-16,2018-05-17,0.068274685,0.071323612,0.063210386,0.071297781,209633430.65870893,4418201013.960861
2018-05-17,2018-05-18,0.071093147,0.072743807,0.066406292,0.067378889,245865049.3184053,4611327166.313098
2018-05-18,2018-05-19,0.06737495,0.069505835,0.065160789,0.069505835,269956777.26206374,4425274567.902452
2018-05-19,2018-05-20,0.069293275,0.070509066,0.067472737,0.068976878,220894917.747794,4531750058.008175
2018-05-20,2018-05-21,0.069074611,0.078010959,0.068421238,0.077223608,272481907.6446346,4847565874.731738
2018-05-21,2018-05-22,0.077123426,0.084022772,0.077123426,0.081920098,556632715.5825984,5336033847.733982
2018-05-22,2018-05-23,0.081878441,0.082692769,0.074557941,0.074947789,573925823.5797577,5231157688.816031
2018-05-23,2018-05-24,0.074801793,0.076668752,0.067706273,0.069831097,557675009.9859984,4783729836.409532
2018-05-24,2018-05-25,0.069433566,0.074104005,0.068661794,0.073070709,599286126.3118268,4777266894.662112
2018-05-25,2018-05-26,0.073442302,0.073442302,0.069612307,0.071145381,425705005.0332285,4665873214.105822
2018-05-26,2018-05-27,0.071082888,0.07624981,0.070486023,0.073109777,269696269.29198146,4783706886.407708
2018-05-27,2018-05-28,0.073150205,0.073251927,0.069501615,0.070350826,340945412.0651209,4698936242.734373
2018-05-28,2018-05-29,0.070729589,0.070995009,0.060543804,0.06063492,369804163.7781044,4324800281.110459
2018-05-29,2018-05-30,0.060622934,0.066060344,0.057520203,0.065062195,507590267.3902517,4137401013.8625216
2018-05-30,2018-05-31,0.065094889,0.068096806,0.060313559,0.062289368,452289739.9239894,4177703249.557404
2018-05-31,2018-06-01,0.06231844,0.063966576,0.059964109,0.060702722,396138232.3038034,4032679880.060242
2018-06-01,2018-06-02,0.060635454,0.061712143,0.056403699,0.058837938,242872430.22291368,3871042675.1035614
2018-06-02,2018-06-03,0.058685404,0.062942154,0.057725001,0.060767968,252098885.17403883,3968480918.5471954
2018-06-03,2018-06-04,0.060823195,0.063171639,0.060480203,0.061898428,248636437.4829231,4090790408.492696
2018-06-04,2018-06-05,0.061919871,0.062220969,0.058167088,0.059158606,196265617.65722343,3935798926.065456
2018-06-05,2018-06-06,0.059172615,0.060723229,0.057438139,0.060572113,173065743.35804784,3890253667.22476
