Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2017-10-02,223.42191881972155,224.15928649902344,223.24422940818943,224.15928649902344,59023000.0,2.0,0.0,40.0,10.0,2017.0
2017-10-03,224.159281413184,224.6656582683248,224.0793157574893,224.63900756835935,66810200.0,3.0,1.0,40.0,10.0,2017.0
2017-10-04,224.48794142959335,225.15423591867287,224.37244604696485,224.90548706054688,55953600.0,4.0,2.0,40.0,10.0,2017.0
2017-10-05,225.24307386732843,226.25584097914856,224.941023609862,226.2380828857422,63522800.0,5.0,3.0,40.0,10.0,2017.0
2017-10-06,225.7849755157426,226.27359416046815,225.5184685784335,225.9804229736328,80646000.0,6.0,4.0,40.0,10.0,2017.0
2017-10-07,225.7849755157426,226.27359416046815,225.5184685784335,225.9804229736328,80646000.0,6.0,4.0,40.0,10.0,2017.0
2017-10-08,225.7849755157426,226.27359416046815,225.5184685784335,225.9804229736328,80646000.0,6.0,4.0,40.0,10.0,2017.0
2017-10-09,226.21147502496748,226.2736554752572,225.3408402745185,225.60736083984372,35803100.0,9.0,0.0,41.0,10.0,2017.0
2017-10-10,226.18480232976245,226.58457636097663,225.63398960010508,226.2025604248047,43057400.0,10.0,1.0,41.0,10.0,2017.0
2017-10-11,226.1048486144187,226.5579376220703,225.93606536782136,226.5579376220703,47674300.0,11.0,2.0,41.0,10.0,2017.0
2017-10-12,226.2380933052948,226.59344497093937,225.9804518252749,226.22032165527344,47065100.0,12.0,3.0,41.0,10.0,2017.0
2017-10-13,226.6645395996356,226.78003500207697,226.2203431973822,226.4957427978516,54800400.0,13.0,4.0,41.0,10.0,2017.0
2017-10-14,226.6645395996356,226.78003500207697,226.2203431973822,226.4957427978516,54800400.0,13.0,4.0,41.0,10.0,2017.0
2017-10-15,226.6645395996356,226.78003500207697,226.2203431973822,226.4957427978516,54800400.0,13.0,4.0,41.0,10.0,2017.0
2017-10-16,226.7267005248748,226.99320748270657,226.38022792389705,226.7977600097656,38221700.0,16.0,0.0,42.0,10.0,2017.0
2017-10-17,226.7444834912675,227.00212498649583,226.52238529818,226.95770263671875,31561000.0,17.0,1.0,42.0,10.0,2017.0
2017-10-18,227.33971376870463,227.3841361201908,226.98436206841205,227.1798095703125,40888300.0,18.0,2.0,42.0,10.0,2017.0
2017-10-19,226.38912443450863,227.27751717793683,225.9626997132864,227.24197387695312,61903800.0,19.0,3.0,42.0,10.0,2017.0
2017-10-20,228.0504556409474,228.44135066422032,227.22424324070252,228.4146728515625,89176400.0,20.0,4.0,42.0,10.0,2017.0
2017-10-21,228.0504556409474,228.44135066422032,227.22424324070252,228.4146728515625,89176400.0,20.0,4.0,42.0,10.0,2017.0
2017-10-22,228.0504556409474,228.44135066422032,227.22424324070252,228.4146728515625,89176400.0,20.0,4.0,42.0,10.0,2017.0
2017-10-23,228.74336590989932,228.77001660687296,227.44629302626672,227.5262451171875,63915300.0,23.0,0.0,43.0,10.0,2017.0
2017-10-24,227.9615839504858,228.16589693055943,227.56179637031516,227.9260406494141,66935900.0,24.0,1.0,43.0,10.0,2017.0
2017-10-25,227.5884289481916,227.70392433378305,225.65173942369964,226.7977600097656,103715300.0,25.0,2.0,43.0,10.0,2017.0
2017-10-26,227.4196874683775,227.69507352341705,226.9665984453088,227.09097290039065,69798000.0,26.0,3.0,43.0,10.0,2017.0
2017-10-27,227.84607932805045,229.10760890485284,227.09983270533684,228.9476776123047,85562500.0,27.0,4.0,43.0,10.0,2017.0
2017-10-28,227.84607932805045,229.10760890485284,227.09983270533684,228.9476776123047,85562500.0,27.0,4.0,43.0,10.0,2017.0
2017-10-29,227.84607932805045,229.10760890485284,227.09983270533684,228.9476776123047,85562500.0,27.0,4.0,43.0,10.0,2017.0
2017-10-30,227.84614546273988,228.8500338538868,227.7928440536172,228.0948944091797,54285700.0,30.0,0.0,44.0,10.0,2017.0
2017-10-31,228.47686127169703,228.7078520829647,228.14816026279928,228.45021057128903,60304800.0,31.0,1.0,44.0,10.0,2017.0
2017-11-01,229.24087532683265,229.58733440512012,228.3791332653749,228.7522430419922,54202700.0,1.0,2.0,44.0,11.0,2017.0
2017-11-02,228.6811755275451,228.98322580188463,227.59733531416447,228.8410797119141,56449500.0,2.0,3.0,44.0,11.0,2017.0
2017-11-03,229.0010205584376,229.6495571143326,228.58347482467488,229.6051483154297,59589700.0,3.0,4.0,44.0,11.0,2017.0
2017-11-04,229.0010205584376,229.6495571143326,228.58347482467488,229.6051483154297,59589700.0,3.0,4.0,44.0,11.0,2017.0
2017-11-05,229.0010205584376,229.6495571143326,228.58347482467488,229.6051483154297,59589700.0,3.0,4.0,44.0,11.0,2017.0
2017-11-06,229.47184743354757,230.0937332328696,229.4007879392576,229.96047973632807,49652600.0,6.0,0.0,45.0,11.0,2017.0
2017-11-07,230.06705933437328,230.4046528993008,229.2852694180346,229.8005523681641,57502200.0,7.0,1.0,45.0,11.0,2017.0
2017-11-08,229.62287949491616,230.28917406994552,229.3385873027873,230.19143676757807,50469600.0,8.0,2.0,45.0,11.0,2017.0
2017-11-09,228.96548927100957,229.55183178051087,227.74836834443423,229.35638427734372,95085500.0,9.0,3.0,45.0,11.0,2017.0
2017-11-10,228.96548518595048,229.46298298302764,228.64564968120283,229.2852935791016,59984700.0,10.0,4.0,45.0,11.0,2017.0
2017-11-11,228.96548518595048,229.46298298302764,228.64564968120283,229.2852935791016,59984700.0,10.0,4.0,45.0,11.0,2017.0
2017-11-12,228.96548518595048,229.46298298302764,228.64564968120283,229.2852935791016,59984700.0,10.0,4.0,45.0,11.0,2017.0
2017-11-13,228.5923233278234,229.729464898662,228.556780028599,229.49847412109372,50228600.0,13.0,0.0,46.0,11.0,2017.0
2017-11-14,228.6811924182013,229.07208741659372,227.89050981776316,228.96548461914065,61315200.0,14.0,1.0,46.0,11.0,2017.0
2017-11-15,227.9793469398868,228.5123880210269,227.09984677854277,227.81944274902344,80811500.0,15.0,2.0,46.0,11.0,2017.0
2017-11-16,228.77888136917247,230.1292556424496,228.73447257822264,229.7561187744141,67777000.0,16.0,3.0,46.0,11.0,2017.0
2017-11-17,229.40081393309177,229.72951496567185,229.0010262865703,229.0809783935547,75756800.0,17.0,4.0,46.0,11.0,2017.0
2017-11-18,229.40081393309177,229.72951496567185,229.0010262865703,229.0809783935547,75756800.0,17.0,4.0,46.0,11.0,2017.0
2017-11-19,229.40081393309177,229.72951496567185,229.0010262865703,229.0809783935547,75756800.0,17.0,4.0,46.0,11.0,2017.0
2017-11-20,229.32969804685985,229.6672644894876,229.0809220708296,229.4718170166016,48075500.0,20.0,0.0,47.0,11.0,2017.0
2017-11-21,230.25360966026884,231.15978755065905,229.43630357231697,230.97320556640625,69176800.0,21.0,1.0,47.0,11.0,2017.0
2017-11-22,230.98208067467624,231.11533414505493,230.6000783557269,230.7688751220703,45033400.0,22.0,2.0,47.0,11.0,2017.0
2017-11-23,230.98208067467624,231.11533414505493,230.6000783557269,230.7688751220703,45033400.0,22.0,2.0,47.0,11.0,2017.0
2017-11-24,231.26642472562372,231.40857082979528,231.12427862145225,231.30194091796875,27856500.0,24.0,4.0,47.0,11.0,2017.0
2017-11-25,231.26642472562372,231.40857082979528,231.12427862145225,231.30194091796875,27856500.0,24.0,4.0,47.0,11.0,2017.0
2017-11-26,231.26642472562372,231.40857082979528,231.12427862145225,231.30194091796875,27856500.0,24.0,4.0,47.0,11.0,2017.0
2017-11-27,231.3463971343029,231.64844746533365,230.982152793813,231.18649291992188,52274900.0,27.0,0.0,48.0,11.0,2017.0
2017-11-28,231.65733388836065,233.55848053567004,231.55959657444723,233.5318298339844,98971700.0,28.0,1.0,48.0,11.0,2017.0
2017-11-29,233.6650632939448,234.2069969971876,232.9366018065052,233.38966369628903,77512100.0,29.0,2.0,48.0,11.0,2017.0
2017-11-30,234.322553151388,236.3569536600344,234.2426010324616,235.43304443359372,127894400.0,30.0,3.0,48.0,11.0,2017.0
2017-12-01,235.2108394737002,235.69944457157348,231.6572689827198,234.94430541992188,164390900.0,1.0,4.0,48.0,12.0,2017.0
2017-12-02,235.2108394737002,235.69944457157348,231.6572689827198,234.94430541992188,164390900.0,1.0,4.0,48.0,12.0,2017.0
2017-12-03,235.2108394737002,235.69944457157348,231.6572689827198,234.94430541992188,164390900.0,1.0,4.0,48.0,12.0,2017.0
2017-12-04,236.5878770900038,237.02318087284476,234.60675144703325,234.6600799560547,94040600.0,4.0,0.0,49.0,12.0,2017.0
2017-12-05,233.81610107421875,235.55734335513395,233.6828475777501,233.81610107421875,77994500.0,5.0,1.0,49.0,12.0,2017.0
2017-12-06,233.9138208099415,234.2958503308645,233.3896722947187,233.8605194091797,75898600.0,6.0,2.0,49.0,12.0,2017.0
2017-12-07,234.59786987304688,234.9176782356769,233.5939817710237,234.59786987304688,77218600.0,7.0,3.0,49.0,12.0,2017.0
2017-12-08,235.5662086258456,235.88601698026275,234.56232054960304,235.8771514892578,76563900.0,8.0,4.0,49.0,12.0,2017.0
2017-12-09,235.5662086258456,235.88601698026275,234.56232054960304,235.8771514892578,76563900.0,8.0,4.0,49.0,12.0,2017.0
2017-12-10,235.5662086258456,235.88601698026275,234.56232054960304,235.8771514892578,76563900.0,8.0,4.0,49.0,12.0,2017.0
2017-12-11,236.58795166015625,236.65014568062097,235.8505973556317,236.58795166015625,83077500.0,11.0,0.0,50.0,12.0,2017.0
2017-12-12,237.387403962628,237.48514125691017,236.62339926002824,237.00540161132807,85195800.0,12.0,1.0,50.0,12.0,2017.0
2017-12-13,237.2542051714448,237.6984016204457,236.88996082987208,236.9788055419922,102905400.0,13.0,2.0,50.0,12.0,2017.0
2017-12-14,237.2808015406002,237.39629692874988,235.9571051013936,236.01040649414065,100666700.0,14.0,3.0,50.0,12.0,2017.0
2017-12-15,237.0292463031377,238.44900752470068,236.9756724646012,237.9757537841797,144610300.0,15.0,4.0,50.0,12.0,2017.0
2017-12-16,237.0292463031377,238.44900752470068,236.9756724646012,237.9757537841797,144610300.0,15.0,4.0,50.0,12.0,2017.0
2017-12-17,237.0292463031377,238.44900752470068,236.9756724646012,237.9757537841797,144610300.0,15.0,4.0,50.0,12.0,2017.0
2017-12-18,239.3955491954226,239.84201608043824,239.288401503047,239.4848480224609,83653600.0,18.0,0.0,51.0,12.0,2017.0
2017-12-19,239.7348348894172,239.77947067161128,238.49364404242337,238.56509399414065,82382900.0,19.0,1.0,51.0,12.0,2017.0
2017-12-20,239.5473231046817,239.6008969487289,238.13649979448175,238.44009399414065,76751500.0,20.0,2.0,51.0,12.0,2017.0
2017-12-21,239.074024984775,239.65445360461715,238.68113203449877,238.93115234375,67032300.0,21.0,3.0,51.0,12.0,2017.0
2017-12-22,238.94908940936443,238.9848143912764,238.324024851702,238.8687286376953,78720900.0,22.0,4.0,51.0,12.0,2017.0
2017-12-23,238.94908940936443,238.9848143912764,238.324024851702,238.8687286376953,78720900.0,22.0,4.0,51.0,12.0,2017.0
2017-12-24,238.94908940936443,238.9848143912764,238.324024851702,238.8687286376953,78720900.0,22.0,4.0,51.0,12.0,2017.0
2017-12-25,238.94908940936443,238.9848143912764,238.324024851702,238.8687286376953,78720900.0,22.0,4.0,51.0,12.0,2017.0
2017-12-26,238.45793823566336,238.806195465393,238.3150928210904,238.5829620361328,45244400.0,26.0,1.0,52.0,12.0,2017.0
