Sno,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
344,Binance Coin,BNB,2017-10-02 23:59:00,1.982869983,1.513440013,1.52662003,1.964669943,19367700.0,196467000.0
345,Binance Coin,BNB,2017-10-03 23:59:00,2.032949924,1.671650052,1.967829943,1.820700049,14411500.0,182070000.0
346,Binance Coin,BNB,2017-10-04 23:59:00,1.857470036,1.517660022,1.851500034,1.601480007,7227750.0,160148000.0
347,Binance Coin,BNB,2017-10-05 23:59:00,1.735190034,1.416949987,1.634989977,1.678490043,7503500.0,167849000.0
348,Binance Coin,BNB,2017-10-06 23:59:00,1.713580012,1.534240007,1.67730999,1.57991004,6076260.0,157991000.0
349,Binance Coin,BNB,2017-10-07 23:59:00,1.605260015,1.500579953,1.605260015,1.584249973,5578780.0,158425000.0
350,Binance Coin,BNB,2017-10-08 23:59:00,1.604079962,1.217229962,1.576179981,1.217229962,4515300.0,121723000.0
351,Binance Coin,BNB,2017-10-09 23:59:00,1.57743001,1.207710028,1.207710028,1.403779984,9667100.0,140378000.0
352,Binance Coin,BNB,2017-10-10 23:59:00,1.469110012,1.342869997,1.43106997,1.393360019,6912770.0,139336000.0
353,Binance Coin,BNB,2017-10-11 23:59:00,1.456159949,1.377990007,1.39944005,1.433730006,6123140.0,143373000.0
354,Binance Coin,BNB,2017-10-12 23:59:00,1.440189958,1.28263998,1.429960012,1.343760014,5275850.0,134376000.0
355,Binance Coin,BNB,2017-10-13 23:59:00,1.51165998,1.183490038,1.336509943,1.435479999,5705760.0,143548000.0
356,Binance Coin,BNB,2017-10-14 23:59:00,1.538190007,1.407019973,1.469320059,1.538190007,3355060.0,153819000.0
357,Binance Coin,BNB,2017-10-15 23:59:00,1.679409981,1.40775001,1.495129943,1.55843997,5987930.0,155844000.0
358,Binance Coin,BNB,2017-10-16 23:59:00,1.599920034,1.390709996,1.555989981,1.440700054,2960330.0,144070000.0
359,Binance Coin,BNB,2017-10-17 23:59:00,1.473549962,1.35600996,1.437680006,1.389950037,1744390.0,138995000.0
360,Binance Coin,BNB,2017-10-18 23:59:00,1.420860052,1.20836997,1.393509984,1.327559948,2311140.0,132756000.0
361,Binance Coin,BNB,2017-10-19 23:59:00,1.353610039,1.249179959,1.328680038,1.284610033,1791220.0,128461000.0
362,Binance Coin,BNB,2017-10-20 23:59:00,1.372810006,1.219269991,1.283259988,1.241919994,1703230.0,122967466.9
363,Binance Coin,BNB,2017-10-21 23:59:00,1.269350052,1.170259953,1.237349987,1.254050016,1331640.0,124168506.7
364,Binance Coin,BNB,2017-10-22 23:59:00,1.29945004,1.183470011,1.255300045,1.213770032,1631220.0,120180222.8
365,Binance Coin,BNB,2017-10-23 23:59:00,1.278100014,1.096050024,1.231359959,1.183730006,2355560.0,117205842.2
366,Binance Coin,BNB,2017-10-24 23:59:00,1.37906003,1.136279941,1.176929951,1.248430014,4833390.0,123612048.0
367,Binance Coin,BNB,2017-10-25 23:59:00,1.269269943,1.17147994,1.243409991,1.252779961,2288360.0,124042758.9
368,Binance Coin,BNB,2017-10-26 23:59:00,1.260969996,1.098160028,1.260969996,1.208600044,2400010.0,119668320.4
369,Binance Coin,BNB,2017-10-27 23:59:00,1.21728003,1.107110023,1.20875001,1.174180031,2067650.0,116260258.5
370,Binance Coin,BNB,2017-10-28 23:59:00,1.204290032,1.139809966,1.180920005,1.152570009,1495260.0,114120566.0
371,Binance Coin,BNB,2017-10-29 23:59:00,1.260730028,1.158849955,1.178369999,1.241230011,1969690.0,122899147.2
372,Binance Coin,BNB,2017-10-30 23:59:00,1.358590007,1.203469992,1.233360052,1.312270045,2437230.0,129933101.8
373,Binance Coin,BNB,2017-10-31 23:59:00,1.410380006,1.271139979,1.335950017,1.312890053,3397150.0,129994490.5
374,Binance Coin,BNB,2017-11-01 23:59:00,1.335160017,1.218050003,1.335160017,1.261540055,2118920.0,124910121.6
375,Binance Coin,BNB,2017-11-02 23:59:00,1.372439981,1.195619941,1.260249972,1.299630046,3550520.0,128681564.8
376,Binance Coin,BNB,2017-11-03 23:59:00,1.480370045,1.294559956,1.294559956,1.459220052,3201070.0,144483209.1
377,Binance Coin,BNB,2017-11-04 23:59:00,1.699929953,1.398929954,1.455979943,1.637199998,4685320.0,162105720.8
378,Binance Coin,BNB,2017-11-05 23:59:00,1.637189984,1.455240011,1.637189984,1.52165997,2681150.0,150665643.2
379,Binance Coin,BNB,2017-11-06 23:59:00,1.665040016,1.480679989,1.528789997,1.569790006,5042750.0,155431187.1
380,Binance Coin,BNB,2017-11-07 23:59:00,1.818189979,1.551210046,1.569090009,1.806439996,9469500.0,178862850.2
381,Binance Coin,BNB,2017-11-08 23:59:00,2.055180073,1.777469993,1.799070001,2.031019926,18796200.0,201099414.3
382,Binance Coin,BNB,2017-11-09 23:59:00,2.174230099,1.893939972,2.053139925,1.990769982,19192200.0,197114100.8
383,Binance Coin,BNB,2017-11-10 23:59:00,2.069469929,1.64478004,2.007730007,1.796839952,11155000.0,177912315.8
384,Binance Coin,BNB,2017-11-11 23:59:00,1.917750001,1.614289999,1.786280036,1.670469999,8178150.0,165399916.6
385,Binance Coin,BNB,2017-11-12 23:59:00,1.672799945,1.462560058,1.668889999,1.519690037,15298700.0,150470585.7
386,Binance Coin,BNB,2017-11-13 23:59:00,1.735020041,1.51760006,1.526010036,1.686619997,12238800.0,166998992.7
387,Binance Coin,BNB,2017-11-14 23:59:00,1.73537004,1.568269968,1.689280033,1.592579961,7829600.0,157687716.1
388,Binance Coin,BNB,2017-11-15 23:59:00,1.624979973,1.495499969,1.587769985,1.530449986,7615500.0,151535976.3
389,Binance Coin,BNB,2017-11-16 23:59:00,1.682219982,1.53689003,1.556190014,1.57791996,8928640.0,156236170.9
390,Binance Coin,BNB,2017-11-17 23:59:00,1.58265996,1.495300055,1.580049992,1.510360003,8508840.0,149546785.0
391,Binance Coin,BNB,2017-11-18 23:59:00,1.676779985,1.49822998,1.511360049,1.674329996,32167300.0,165782110.6
