Date,Total_Volume,Total_Market_Cap
2021-02-12,184552735625.46,1281824904206.0
2021-02-13,183720184375.29,1275584498919.0
2021-02-14,166814962690.31,1296221931590.0
2021-02-15,189816435307.1,1273799387320.0
2021-02-16,175252797818.12,1298638003559.0
2021-02-17,178372861007.87,1372975922843.0
2021-02-18,123230197173.6,1380608694960.0
2021-02-19,148818819034.3,1488792502989.0
2021-02-20,170364414055.4,1489398688543.0
2021-02-21,125346338058.59999,1519156247351.0
2021-02-22,212108121158.1,1432620591222.0
2021-02-23,238537332930.4,1279184451485.0
2021-02-24,150649462469.7,1312093392751.0
2021-02-25,121511293845.1,1233689143698.0
2021-02-26,603813945954.0,1219978605693.0
2021-02-27,115385379759.6,1226801390338.0
2021-02-28,127685637993.8,1194991039056.0
2021-03-01,115988056075.8,1312649737973.0
2021-03-02,108908119248.5,1276071576290.0
2021-03-03,110211505868.1,1329886511572.0
2021-03-04,116040683483.6,1282326823335.0
2021-03-05,104345738614.31,1292144091291.0
2021-03-06,83375486240.1,1305713580297.0
2021-03-07,94258221987.1,1365659763392.0
2021-03-08,108263638596.92,1399986625474.0
2021-03-09,111707946424.5,1466213553274.0
2021-03-10,114982338932.7,1468400314073.0
2021-03-11,109758978354.7,1512160299883.0
2021-03-12,109689349204.0,1486947680126.0
2021-03-13,118408692050.0,1584818384320.0
2021-03-14,88349765103.45,1537999276911.0
2021-03-15,123299765304.40001,1453703774599.0
2021-03-16,121437992385.2,1486399959043.0
2021-03-17,118666154278.42,1538732259856.0
2021-03-18,110942419580.01,1505522465473.0
2021-03-19,97069927396.2,1526976108540.0
2021-03-20,103421764272.77,1525992252675.0
2021-03-21,100406920289.33,1500748968374.0
2021-03-22,112009265123.3,1433464895726.0
2021-03-23,108760553785.0,1430063383098.0
2021-03-24,131545193043.9,1370620083951.0
2021-03-25,129143947624.6,1349019170823.0
2021-03-26,108924053509.9,1444237992358.0
2021-03-27,86845981730.2,1455418393711.0
2021-03-28,83153766814.0,1453326389615.0
2021-03-29,101466760709.90001,1515570530428.0
2021-03-30,100368127795.2,1544641923843.0
2021-03-31,135900685145.4,1556315376346.0
2021-04-01,135023792678.1,1572566919297.0
2021-04-02,133217966120.5,1611605255562.0
2021-04-03,137901422385.7,1561036826983.0
2021-04-04,115667351734.4,1604816250497.0
2021-04-05,162464650130.3,1628507323197.0
2021-04-06,187024887780.6,1635184640312.0
2021-04-07,185529317082.19998,1550172714946.0
2021-04-08,120824105468.5,1626203597335.0
2021-04-09,98795593863.3,1625124947211.0
2021-04-10,141409379950.2,1689706167919.0
2021-04-11,127569741676.4,1704842044107.0
2021-04-12,133242481957.3,1721802922023.0
2021-04-13,184684784539.5,1831396267929.0
2021-04-14,216015056108.5,1848077056022.0
2021-04-15,167258054182.6,1868672055824.0
2021-04-16,263337867783.0,1833239909177.0
2021-04-17,191725994686.3,1790838457316.0
2021-04-18,256269255363.2,1674055339133.0
2021-04-19,192847065440.4,1655765255420.0
2021-04-20,198066003176.1,1705955757643.0
2021-04-21,156953946984.5,1641592063959.0
2021-04-22,201166776421.3,1580027147340.0
2021-04-23,232630034071.5,1562643241605.0
2021-04-24,127225182360.8,1507935357710.0
2021-04-25,116006200716.4,1502763325220.0
2021-04-26,142607789224.1,1663290557417.0
2021-04-27,125338846017.9,1713507097060.0
2021-04-28,131241678368.1,1719182079392.0
2021-04-29,116784865507.7,1703551787708.0
2021-04-30,126938732308.8,1808681029223.0
2021-05-01,111376449840.5,1842731132827.0
2021-05-02,101605852929.09999,1815233323298.0
2021-05-03,146033551443.6,1902249109837.0
2021-05-04,224978875709.30002,1796404512255.0
2021-05-05,224595687466.80002,1957511123655.0
2021-05-06,217318602512.9,1928403471661.0
2021-05-07,205571028596.4,1940541602457.0
2021-05-08,182848126889.2,2015410600813.0
2021-05-09,214345855422.4,2010984175814.0
2021-05-10,216462981057.1,1920322066370.0
2021-05-11,191959601637.7,1998411817148.0
2021-05-12,215054105002.1,1748744362778.0
2021-05-13,274881915208.9,1787636009643.0
2021-05-14,175223867019.9,1866061133190.0
2021-05-15,178778283380.0,1739532862394.0
2021-05-16,181728276813.3,1732506767249.0
2021-05-17,199107194996.8,1611433209333.0
2021-05-18,156597979334.3,1621840935649.0
2021-05-19,326186867354.8,1264315169287.0
2021-05-20,238128221578.9,1435240429518.0
2021-05-21,201247277455.5,1277502212069.0
2021-05-22,146098575170.5,1242109116369.0
2021-05-23,197649131552.0,1136776100205.0
2021-05-24,176470450891.4,1331202591530.0
2021-05-25,154997185439.6,1328816543967.0
2021-05-26,137079216144.29999,1396387116531.0
2021-05-27,114356081414.40001,1346528671161.0
2021-05-28,138748039167.65,1231058154404.0
